,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
363,0.802,Mon Jan 08 05:04:22 +0000 2018,Fox,0.455,0.0,0.545,64
364,0.0,Sun Jan 07 23:36:57 +0000 2018,Fox,1.0,0.0,0.0,65
365,-0.296,Sun Jan 07 23:17:28 +0000 2018,Fox,0.476,0.524,0.0,66
366,0.636,Sun Jan 07 23:17:08 +0000 2018,Fox,0.193,0.0,0.807,67
367,-0.6478,Sun Jan 07 23:15:04 +0000 2018,Fox,0.763,0.237,0.0,68
368,-0.5707,Sun Jan 07 23:06:14 +0000 2018,Fox,0.39,0.61,0.0,69
369,0.5267,Sun Jan 07 22:06:10 +0000 2018,Fox,0.708,0.066,0.226,70
370,-0.2862,Sun Jan 07 21:27:38 +0000 2018,Fox,0.745,0.153,0.102,71
371,0.6486,Sun Jan 07 21:23:06 +0000 2018,Fox,0.762,0.0,0.238,72
372,0.0,Sun Jan 07 06:04:08 +0000 2018,Fox,1.0,0.0,0.0,73
373,0.8122,Sun Jan 07 04:16:20 +0000 2018,Fox,0.682,0.0,0.318,74
374,0.0,Sun Jan 07 04:10:19 +0000 2018,Fox,1.0,0.0,0.0,75
375,0.4754,Sun Jan 07 03:59:03 +0000 2018,Fox,0.655,0.116,0.229,76
376,0.0772,Sun Jan 07 01:41:59 +0000 2018,Fox,0.642,0.195,0.163,77
377,0.6369,Sat Jan 06 22:42:50 +0000 2018,Fox,0.826,0.0,0.174,78
378,0.0,Sat Jan 06 22:29:07 +0000 2018,Fox,1.0,0.0,0.0,79
379,0.0,Sat Jan 06 22:24:27 +0000 2018,Fox,1.0,0.0,0.0,80
380,0.0,Mon Jan 08 07:22:13 +0000 2018,Fox,1.0,0.0,0.0,81
381,0.296,Mon Jan 08 05:11:05 +0000 2018,Fox,0.901,0.0,0.099,82
382,0.3182,Mon Jan 08 05:08:00 +0000 2018,Fox,0.909,0.0,0.091,83
383,0.802,Mon Jan 08 05:04:22 +0000 2018,Fox,0.455,0.0,0.545,84
384,0.0,Sun Jan 07 23:36:57 +0000 2018,Fox,1.0,0.0,0.0,85
385,-0.296,Sun Jan 07 23:17:28 +0000 2018,Fox,0.476,0.524,0.0,86
386,0.636,Sun Jan 07 23:17:08 +0000 2018,Fox,0.193,0.0,0.807,87
387,-0.6478,Sun Jan 07 23:15:04 +0000 2018,Fox,0.763,0.237,0.0,88
388,-0.5707,Sun Jan 07 23:06:14 +0000 2018,Fox,0.39,0.61,0.0,89
389,0.5267,Sun Jan 07 22:06:10 +0000 2018,Fox,0.708,0.066,0.226,90
390,-0.2862,Sun Jan 07 21:27:38 +0000 2018,Fox,0.745,0.153,0.102,91
391,0.6486,Sun Jan 07 21:23:06 +0000 2018,Fox,0.762,0.0,0.238,92
392,0.0,Sun Jan 07 06:04:08 +0000 2018,Fox,1.0,0.0,0.0,93
393,0.8122,Sun Jan 07 04:16:20 +0000 2018,Fox,0.682,0.0,0.318,94
394,0.0,Sun Jan 07 04:10:19 +0000 2018,Fox,1.0,0.0,0.0,95
395,0.4754,Sun Jan 07 03:59:03 +0000 2018,Fox,0.655,0.116,0.229,96
396,0.0772,Sun Jan 07 01:41:59 +0000 2018,Fox,0.642,0.195,0.163,97
397,0.6369,Sat Jan 06 22:42:50 +0000 2018,Fox,0.826,0.0,0.174,98
398,0.0,Sat Jan 06 22:29:07 +0000 2018,Fox,1.0,0.0,0.0,99
399,0.0,Sat Jan 06 22:24:27 +0000 2018,Fox,1.0,0.0,0.0,100
400,0.4019,Mon Jan 08 07:52:01 +0000 2018,New York TImes,0.891,0.0,0.109,1
401,0.5106,Mon Jan 08 07:37:06 +0000 2018,New York TImes,0.711,0.061,0.228,2
402,0.5719,Mon Jan 08 07:22:06 +0000 2018,New York TImes,0.709,0.0,0.291,3
403,0.5859,Mon Jan 08 07:07:03 +0000 2018,New York TImes,0.84,0.0,0.16,4
